,Scores,Steps
151,19.38914938,6
152,19.45596919,7
153,21.05414919,7
154,17.24833556,6
155,18.25948329,6
156,19.55985479,6
157,19.27492878,6
158,18.43202553,6
159,19.63230513,6
160,20.99388454,6
161,19.01483056,6
162,18.51874041,6
163,18.85338962,6
164,19.81462677,6
165,21.85169077,7
166,21.52050599,7
167,20.71982208,7
168,19.32108389,6
169,19.222966,6
170,21.01549108,7
171,18.07436008,6
172,18.78029567,6
173,19.05005698,6
174,19.57607651,6
175,18.6662001,6
176,21.6632464,7
177,20.76960318,7
178,18.76652586,6
179,20.82286113,7
180,20.73111077,7
181,20.48373769,7
182,18.81781017,6
183,19.98827112,6
184,20.60957052,7
185,21.31721298,7
186,21.87386385,7
187,19.43075583,7
188,20.22547035,7
189,20.74908859,7
190,19.91158183,7
191,20.5042227,8
192,18.48062146,6
193,20.43653231,7
194,20.80591782,7
195,19.9259219,7
196,19.5238047,7
197,20.37642489,7
198,19.87952946,7
199,19.43811456,7
200,19.57009378,7
201,19.00787255,6
202,21.03898369,7
203,18.95793802,6
204,21.93834141,7
205,21.10426415,7
206,20.83356728,7
207,20.32067517,7
208,20.15140646,7
209,18.3541946,6
210,19.74963834,7
211,19.91995262,7
212,19.4734112,7
213,20.89157875,7
214,20.76998286,7
215,20.29890783,7
216,18.39104473,6
217,19.66889967,7
218,20.22495331,7
219,20.95664481,7
220,20.64598383,8
221,20.07683676,7
222,19.96815958,7
223,19.22854832,7
224,21.28010725,7
225,19.56117548,7
226,19.80676421,7
227,21.43204506,7
228,20.14333496,7
229,21.40502927,8
230,19.56743813,7
231,21.74241501,8
232,20.01800048,7
233,19.99674845,7
234,22.11445895,8
235,22.49723037,9
236,21.31670023,8
237,21.12849869,8
238,20.48867909,8
239,19.32602115,7
240,19.10806047,7
241,22.03130728,8
242,20.0135358,7
243,21.56743602,8
244,20.84960679,8
245,21.94671309,8
246,21.79038206,9
247,23.14040816,9
248,22.06083053,9
249,21.73612574,8
250,22.40553281,9
251,21.26881302,8
252,20.9009414,8
253,22.93000878,10
254,22.09688131,9
255,21.61915456,8
256,22.9166151,9
257,27.12073483,13
258,22.9544402,10
259,28.05455256,16
260,28.8106981,21
261,24.89347598,11
262,22.75719062,9
263,22.92816964,10
264,35.65129589,24
265,20.058081,7
266,23.03621942,10
267,25.78757137,12
268,23.5319368,11
269,26.50367137,14
270,31.1874177,19
271,26.93976119,14
272,24.35196011,11
273,33.77670748,22
274,37.12015775,27
275,27.96415599,18
276,33.19261183,21
277,33.81309541,22
278,39.11732745,26
279,29.30257795,20
280,34.97441555,22
281,33.74163491,22
282,33.0289462,20
283,30.84343162,20
284,26.30959221,30
285,30.07658262,19
286,37.29020971,24
287,34.49069473,22
288,33.3748645,22
289,32.0652558,20
290,35.34819209,24
291,43.43006133,28
292,43.34499336,28
293,45.21176111,30
294,47.12890684,31
295,44.61348542,29
296,48.77731612,32
297,38.86924414,31
298,53.364275,34
299,47.62546571,32
300,52.88052611,35
301,50.39103239,33
302,44.91397867,28
303,50.94443553,34
304,41.40003735,42
305,51.54793094,33
306,52.53432458,36
307,66.13256083,61
308,60.33893717,49
309,113.9569717,95
310,119.0583286,100
311,111.4048973,95
312,90.61839471,66
313,73.79053211,70
314,122.6144262,104
315,94.04246794,66
316,83.76814275,57
317,102.6344208,85
318,86.25177354,64
319,115.3943789,95
320,106.3235211,92
