Scores,Steps
93.44758111,70
93.83250533,73
93.4243997,72
93.08420653,69
93.19563366,72
94.09771032,70
93.32810486,71
93.77259736,73
92.76339014,69
91.76120377,70
92.02656757,70
92.07946386,68
92.56805168,70
93.28414246,71
93.92535216,71
93.40881454,69
93.2850917,71
92.74858665,69
93.70313885,68
93.51847744,71
93.6167748,71
93.60813072,71
93.9868275,70
92.73588562,70
92.30443519,69
93.1982551,70
92.77974534,69
94.2986512,68
92.93976614,71
93.70738264,70
92.57314569,69
94.08554472,71
93.21753321,67
93.88078279,70
92.98387715,71
92.72253215,67
93.39742689,73
92.961208,69
93.49943033,70
93.15031591,69
92.63072164,72
93.49458538,72
92.75478921,72
92.5323357,72
93.41661007,72
93.82834597,69
93.10781658,72
93.11277214,72
92.75796725,72
93.05201941,70
92.97049552,70
92.49889685,69
92.80670708,69
93.70891281,70
93.32978692,69
93.2126685,70
93.37885446,68
92.97038405,68
93.90756228,69
92.30133012,67
93.84664776,69
92.38196159,69
92.70103673,69
92.8651896,71
93.37232317,69
92.8268655,70
91.89433439,69
92.88356564,70
92.48769074,69
93.44320499,71
91.6470317,67
93.04195995,68
93.05444431,71
93.36771036,69
93.09977298,69
93.35704148,70
92.44170819,68
93.35924375,68
93.44004277,67
93.15132899,69
92.17036158,69
94.15187193,69
93.05116418,69
93.24185096,67
93.12743967,70
93.69780161,68
93.21135731,71
93.14657183,75
93.46556035,74
93.14682004,66
93.81972303,68
93.39128017,68
92.29848365,69
92.1776346,69
93.01222194,73
93.06825733,68
92.19533783,71
92.44530096,66
93.42911024,74
93.84284736,68
92.57767387,70
93.82280748,69
92.62791979,73
93.65327424,68
94.25761399,67
93.18962688,67
94.6524552,70
93.25748406,70
86.01329035,143
86.68812046,144
86.25178822,147
87.23623204,139
87.88551791,143
86.7655992,144
86.98656785,148
90.06368017,108
91.80666887,99
92.69212733,77
87.18466031,149
86.53248713,148
85.94994643,151
87.39195233,146
87.01766932,139
84.47850369,161
87.11855482,143
83.13209642,168
93.69650553,76
92.93331203,78
83.14550687,206
94.00593212,79
93.04225375,75
87.67950681,146
85.00165051,191
92.99827826,72
93.10754406,73
89.12530928,134
92.23734792,74
92.52978244,76
91.54669432,73
90.00172714,129
89.06673301,126
89.74460465,134
92.80913647,75
91.89596186,83
90.26534038,122
92.87927614,72
93.84487783,81
91.25614622,124
93.58582036,79
92.76592115,75
92.48585143,71
93.39134231,83
93.53070333,82
90.4264069,122
91.64549225,72
92.42484751,76
