Scores,Steps
89.75734662,203
93.94070379,141
93.45913168,136
94.7702131,113
88.33390806,213
93.69401872,140
93.45100496,139
93.80484092,145
94.62687088,110
93.40902141,146
91.78071617,116
93.04919412,124
93.98058393,139
93.09249657,140
94.07340095,90
94.79398249,88
94.07653557,135
93.87858952,135
93.84522159,136
95.56666046,77
95.39180159,81
93.92629686,139
94.2933819,90
92.54355096,145
94.48012271,87
94.52583425,86
93.86198444,132
91.43620209,171
93.54894801,135
93.52649055,102
93.8385842,134
92.17191285,185
93.8971744,125
89.17682638,230
93.24258638,144
92.99768982,139
93.24475091,137
93.68973886,128
90.66075768,134
95.53409832,79
92.85437751,144
94.66140454,92
93.39107823,150
91.56487137,187
93.952008,135
95.42184311,87
93.86089575,139
90.54327185,155
92.43135085,148
93.85712273,99
92.29343663,153
95.1131031,81
91.1252968,194
95.01988531,84
90.29842886,195
93.40608338,141
92.05075706,198
93.74974493,130
95.58432179,78
92.14239476,117
94.31523805,143
93.76566288,138
95.00029939,88
92.17970188,144
90.41998173,207
91.93902236,196
93.73486558,141
95.47845183,78
95.26871383,81
95.34391951,86
92.24846668,119
91.895863,202
92.50008946,157
92.78070061,112
92.25882496,141
91.07993785,224
92.84593297,110
93.4886639,144
90.0846293,197
93.34536873,149
93.43822263,139
92.30781111,159
94.39903203,95
93.00275463,152
94.04201094,100
95.23168778,81
91.84404185,149
90.50919592,240
92.0040166,170
95.49783668,78
93.72276787,149
92.86365249,149
92.60684702,159
93.0998299,145
92.49317421,159
89.34678013,287
93.15680163,106
91.29838344,172
96.09534626,81
92.54885641,173
95.57259208,83
88.80471683,235
95.81212864,79
94.95278654,90
95.25046366,78
92.06861203,175
95.17697048,90
92.92200416,132
95.22815165,85
92.73718047,149
90.4451989,188
91.76503299,161
91.5171077,167
94.86527767,89
95.54104627,81
95.67011948,80
93.95783307,96
95.69908409,80
94.43714133,96
94.92045507,87
95.37104514,83
94.1940387,99
93.32543557,100
94.66026697,83
95.65464741,78
93.29496542,106
95.21500424,82
94.04337017,97
94.59213833,86
92.77999467,118
94.52333112,91
93.83792094,94
94.6567009,86
95.28254036,79
94.83130811,85
94.81244326,84
93.19978256,103
94.29243684,94
94.87287036,84
93.81039778,93
94.45336182,87
94.80900701,84
94.23929391,96
94.19351382,88
94.09218746,93
95.07357924,77
94.68809259,84
95.49190416,78
94.83320065,80
95.05338076,80
95.06488589,80
94.8508889,83
93.53974401,124
95.14312858,76
95.14307666,76
95.1153714,76
95.41953571,77
94.45989104,86
93.87214283,114
94.464303,86
94.70463888,81
92.21859021,114
94.31278564,86
95.21332833,76
94.46996521,84
94.56404935,83
93.59270503,103
94.71436331,79
95.28311133,78
95.4312312,77
95.03340305,78
95.25864195,74
95.22977301,78
95.09854621,75
95.17298426,76
94.79662613,81
95.06426881,79
95.14158833,78
94.09676454,87
94.45995024,87
93.72529358,95
94.0278478,86
94.11956696,84
94.70452552,81
94.88614511,79
95.17124086,77
95.50585769,78
95.20018909,78
95.02266083,80
94.54530887,82
94.43617625,85
95.49208788,78
93.9472515,118
95.05812087,79
93.84841127,112
93.74421678,93
94.9584908,78
94.36314139,94
95.48682965,77
95.0413213,79
94.31463331,78
94.4347787,86
95.00272509,76
95.29576575,75
95.28848222,78
95.5108497,79
94.06688452,106
95.0039991,77
94.04267425,109
95.19641374,79
95.22956626,77
95.08649391,83
95.47286051,77
94.00937827,108
94.22887013,89
95.12388616,80
95.02222544,78
94.26919779,108
94.90900952,78
94.63313805,107
94.38720103,112
94.25762536,110
94.95760247,77
95.26274421,81
94.18861453,119
94.30815836,86
95.34735712,80
94.09917334,90
95.0809283,79
95.35596596,76
94.70768218,83
94.54849822,89
94.24884386,90
95.68103658,76
94.17258982,126
91.40252452,158
94.35528494,83
95.09087966,80
95.1921347,73
95.03560158,76
95.06979801,75
95.28107896,79
95.39406313,75
94.67738514,109
94.64167737,77
94.40511631,110
93.9138098,108
95.10076092,77
94.46603576,95
94.10003412,109
94.28348557,109
93.89574434,121
94.91173519,80
95.26726719,79
94.82470391,80
95.09025673,82
95.12680571,78
93.89480452,122
95.17798238,79
95.03897264,78
94.61143366,87
94.83273284,81
95.35560732,77
95.31161883,81
94.66822086,80
95.2227463,77
94.07853063,102
95.42156088,81
94.87466835,115
94.82871301,81
94.89725839,81
94.91226604,88
94.12251543,90
95.46530944,78
93.88592398,94
91.93317373,147
95.22862063,79
94.39588324,107
93.93172216,137
95.67092851,77
94.40975526,105
94.52851064,80
95.13895613,78
95.24570855,79
94.49523199,100
94.51420282,80
95.08713768,80
94.82565012,78
95.04984194,81
94.83127327,76
94.63896031,87
92.67550974,136
91.93429906,147
93.80393239,128
94.39383267,85
94.7101776,78
94.73394416,79
95.16278072,80
94.33543624,82
93.53212173,98
94.56480962,82
94.71110351,82
92.52589361,147
94.62903541,81
94.35172212,86
94.84340451,78
95.06796311,78
95.27114108,77
94.28190557,85
94.29966496,85
95.30627621,76
93.22985367,96
95.14948191,79
94.61755817,79
95.49610093,78
94.76966791,77
95.50516231,77
95.28992341,79
95.63741659,76
94.76845164,80
94.94269486,81
94.92410027,81
94.44234845,82
94.10890891,111
95.02571774,78
95.647045,79
94.61850958,85
94.18788536,84
95.53209476,77
95.56151561,77
94.85812219,80
94.31331195,83
93.41667965,148
95.53294477,79
95.80413987,78
95.17172683,80
95.49356685,77
95.08200651,78
94.25774549,82
94.32629758,83
94.55424067,80
95.28488267,79
95.55588966,79
94.82128729,78
94.16002942,93
95.33522047,75
95.22834537,79
95.4331204,77
93.50826162,131
95.06044761,81
95.66276158,77
95.40859676,77
92.75333579,142
94.5682272,117
94.82403287,78
95.44130131,79
94.7978014,79
94.50047889,79
94.56213126,77
95.51175227,75
95.03495072,78
94.4356482,109
95.02455024,81
95.37543206,76
94.73206697,80
94.14134244,88
94.31276661,81
95.54133701,78
94.9823952,79
94.22912339,93
94.73612188,79
95.35499025,73
95.6826587,76
95.60003766,80
94.51311198,80
95.61096026,76
94.16161049,89
95.27184992,76
94.80865541,83
94.77731164,77
95.5816326,78
94.88087148,76
94.57058259,81
94.47427504,84
95.22213362,78
95.09611201,76
95.22612254,74
95.38071902,74
94.95885617,79
95.30908417,76
94.58329818,82
95.19718883,77
94.87003532,79
94.37106465,85
94.52633359,88
95.1377558,77
94.18729086,82
95.72403173,78
95.09379627,75
94.38775095,85
94.72049201,79
94.54075429,81
94.80886856,77
95.44131424,79
94.97210086,77
95.53842183,77
95.02552023,81
94.34534883,85
95.36691014,78
95.17436089,76
